AC NO.,AC NAME,TOTAL ELECTORS,SL_NO,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,GENERAL,POSTAL,TOTAL,VOTE_PERCENT,AC TOTAL,VOTE SHARE,is_winner,YEAR
111,Lakhimpur,141363,6,BULU GOGOI,M,44,GEN,AITC,1076,0,1076,0.97,110744,0.009716102001011341,0,2011
111,Lakhimpur,141363,7,BIRINCHI PEGU,M,31,ST,SUCI,502,0,502,0.45,110744,0.004532976955862168,0,2011
112,Dhakuakhana,154622,1,NABA KUMAR DOLEY,M,38,ST,AGP,63737,226,63963,50.31,127145,0.5030712965511818,1,2011
112,Dhakuakhana,154622,2,BHARAT CHANDRA NARAH,M,54,ST,INC,56359,97,56456,44.4,127145,0.4440284714302568,0,2011
112,Dhakuakhana,154622,3,GYANA NATH MILI,M,33,ST,CPM,2016,17,2033,1.6,127145,0.01598961815250305,0,2011
112,Dhakuakhana,154622,4,LAKHIMAI PEGU,F,25,ST,BJP,1871,2,1873,1.47,127145,0.014731212395296709,0,2011
112,Dhakuakhana,154622,5,RANJIT DOLEY,M,31,ST,IND,1130,0,1130,0.89,127145,0.00888749066026977,0,2011
112,Dhakuakhana,154622,6,MEMUD PAGAG,M,29,ST,IND,525,0,525,0.41,127145,0.0041291438908333,0,2011
112,Dhakuakhana,154622,7,INDRAJIT NARAH,M,30,ST,IND,437,0,437,0.34,127145,0.003437020724369814,0,2011
112,Dhakuakhana,154622,8,JUTIKA DOLEY,F,29,ST,SUCI,398,0,398,0.31,127145,0.003130284321050769,0,2011
112,Dhakuakhana,154622,9,BHABEN KUMAR PANYANG,M,65,ST,AITC,330,0,330,0.26,127145,0.0025954618742380746,0,2011
113,Dhemaji,186281,1,SUMITRA DOLEY PATIR,F,54,ST,INC,59612,21,59633,42.64,139859,0.4263794249923137,1,2011
113,Dhemaji,186281,2,PARAMANANDA SONOWAL,M,40,ST,AGP,52319,29,52348,37.43,139859,0.3742912504736914,0,2011
113,Dhemaji,186281,3,SAILEN SONOWAL,M,37,ST,BJP,21936,21,21957,15.7,139859,0.1569938294997104,0,2011
113,Dhemaji,186281,4,KHADGARAJ PEGU,M,37,ST,AITC,2792,0,2792,2,139859,0.01996296269814599,0,2011
113,Dhemaji,186281,5,HEMKANTA MIRI,M,28,ST,SUCI,1357,0,1357,0.97,139859,0.009702629076426973,0,2011
113,Dhemaji,186281,6,DIMPAL SONOWAL,M,37,ST,AIFB,1167,1,1168,0.84,139859,0.008351268062834712,0,2011
113,Dhemaji,186281,7,LALIT NARAH,M,50,ST,SAP,604,0,604,0.43,139859,0.004318635196876855,0,2011
114,Jonai,232669,1,PRADAN BARUAH,M,46,ST,INC,97054,272,97326,52.89,184028,0.5288651726911122,1,2011
114,Jonai,232669,2,BHUBAN PEGU,M,40,ST,IND,77505,311,77816,42.28,184028,0.42284869693742255,0,2011
114,Jonai,232669,3,ASWINI PAIT,M,40,ST,BJP,6463,12,6475,3.52,184028,0.03518486317299541,0,2011
114,Jonai,232669,4,MAKHAN KAMAN KULI,M,60,ST,AITC,2409,2,2411,1.31,184028,0.013101267198469798,0,2011
115,Moran,115307,1,JIBONTARA GHATOWAR,F,50,GEN,INC,47127,16,47143,57.17,82459,0.5717144277762282,1,2011
115,Moran,115307,2,SUNIL RAJKONWAR,M,42,GEN,AGP,17637,13,17650,21.4,82459,0.2140457681999539,0,2011
115,Moran,115307,3,SWARNA SAIKIA DEORI,F,49,ST,BJP,14568,3,14571,17.67,82459,0.1767059993451291,0,2011
115,Moran,115307,4,SHYAMAL BHUMIJ,M,38,GEN,IND,2343,0,2343,2.84,82459,0.0284141209570817,0,2011
115,Moran,115307,5,LAKHICHARAN SWAUSI,M,47,GEN,JMM,752,0,752,0.91,82459,0.009119683721607102,0,2011
116,Dibrugarh,124874,1,PRASANTA PHUKAN,M,55,GEN,BJP,46468,38,46506,55.15,84319,0.5515482868629846,1,2011
116,Dibrugarh,124874,2,KALYAN KUMAR GOGOI,M,65,GEN,INC,26875,22,26897,31.9,84319,0.3189909747506493,0,2011
116,Dibrugarh,124874,3,SHYAMAL BARUAH,M,39,GEN,AITC,5222,1,5223,6.19,84319,0.06194333424257878,0,2011
116,Dibrugarh,124874,4,THANESWAR BORAH,M,57,GEN,AGP,1968,1,1969,2.34,84319,0.02335179496910542,0,2011
116,Dibrugarh,124874,5,PARBEZ KHAN,M,31,GEN,AIUDF,1663,0,1663,1.97,84319,0.01972271967172286,0,2011
116,Dibrugarh,124874,6,SIMA GHOSH,F,43,GEN,IND,1013,0,1013,1.2,84319,0.012013899595583438,0,2011
116,Dibrugarh,124874,7,AVINASH SINGH,M,25,GEN,JMM,529,0,529,0.63,84319,0.006273793569658084,0,2011
116,Dibrugarh,124874,8,PADMESWAR PHUKAN,M,53,GEN,IND,519,0,519,0.62,84319,0.006155196337717478,0,2011
117,Lahowal,118135,1,PRITHIBI MAJHI,M,59,GEN,INC,39844,13,39857,46.9,84981,0.4690107200433038,1,2011
117,Lahowal,118135,2,RANJIT KONWAR,M,41,GEN,BJP,20136,1,20137,23.7,84981,0.23695884962521035,0,2011
117,Lahowal,118135,3,TERASH GOWALLA,M,36,GEN,AGP,15933,1,15934,18.75,84981,0.18750073545851426,0,2011
