AC NO.,AC NAME,TOTAL ELECTORS,SL_NO,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,GENERAL,POSTAL,TOTAL,VOTE_PERCENT,AC TOTAL,VOTE SHARE,is_winner,YEAR
16,Orleampeth,23631,5,M. NEHRU,M,50,GEN,IND,59,0,59,0.3,19880,0.0029678068410462777,0,2011
16,Orleampeth,23631,6,N. SIVARAJ,M,51,GEN,IND,53,0,53,0.27,19880,0.0026659959758551306,0,2011
16,Orleampeth,23631,7,D. SURESH NANDHA,M,44,GEN,JD(U),51,1,52,0.26,19880,0.0026156941649899397,0,2011
16,Orleampeth,23631,8,K. VAITHIANATHAN,M,42,GEN,BSP,39,0,39,0.2,19880,0.0019617706237424547,0,2011
17,Nellithope,26807,1,OMSAKTHI SEKAR,M,50,GEN,AIADMK,13235,66,13301,58.51,22734,0.5850708190375649,1,2011
17,Nellithope,26807,2,R.V.JANAKIRAMAN,M,70,GEN,DMK,8718,65,8783,38.63,22734,0.38633764405735904,0,2011
17,Nellithope,26807,3,A.VELAYUTHAM,M,46,GEN,BJP,299,2,301,1.32,22734,0.013240080936042932,0,2011
17,Nellithope,26807,4,M.CHITTY BABU,M,34,GEN,IND,112,0,112,0.49,22734,0.004926541743643881,0,2011
17,Nellithope,26807,5,D. JANAKIRAMAN,M,31,GEN,IND,93,0,93,0.41,22734,0.0040907891264185805,0,2011
17,Nellithope,26807,6,VIJAYAN @ POORVATHANAN,M,63,GEN,IND,83,0,83,0.37,22734,0.003650919327878948,0,2011
17,Nellithope,26807,7,M.P. MANOHARAN,M,51,GEN,IND,61,0,61,0.27,22734,0.002683205771091757,0,2011
18,Mudaliarpet,29284,1,A. BASKAR,M,40,GEN,AIADMK,16834,182,17016,67.15,25340,0.6715074980268351,1,2011
18,Mudaliarpet,29284,2,DR. M.A.S. SUBRAMANIAN,M,64,GEN,DMK,7208,81,7289,28.76,25340,0.2876479873717443,0,2011
18,Mudaliarpet,29284,3,PADMANABAN,M,56,GEN,BJP,572,3,575,2.27,25340,0.022691397000789267,0,2011
18,Mudaliarpet,29284,4,E. JEGAN @ JEGANADHANE,M,31,GEN,IJK,231,0,231,0.91,25340,0.009116022099447514,0,2011
18,Mudaliarpet,29284,5,M. SUBRAMANI,M,49,GEN,IND,122,1,123,0.49,25340,0.004853985793212313,0,2011
18,Mudaliarpet,29284,6,LENIN .K,M,53,GEN,RSP,103,3,106,0.42,25340,0.004183109707971587,0,2011
19,Ariankuppam,30970,1,V.SABAPATHY @ KOTHANDARAMAN,M,67,GEN,AINRC,13230,151,13381,49.12,27239,0.491244171959323,1,2011
19,Ariankuppam,30970,2,T.DJEAMOURTHY,M,52,GEN,INC,10652,98,10750,39.47,27239,0.3946547230074525,0,2011
